FECHA (YYMMDD);HORA (HHMM);;
040103;1800;2,33064;
040103;1900;2,10127;
040103;2000;0,991667;
040103;2100;0,27548;
040103;2200;0,744288;
040103;2300;0,531729;
040104;0000;0,634865;
040104;0100;0,459362;
040104;0200;0,614955;
040104;0300;0,244261;
040104;0400;0,531709;
040104;0500;0,436718;
040104;0600;0,382111;
040104;0700;0,677402;
040104;0800;0,402613;
040104;0900;0,789308;
040104;1000;1,10837;
040104;1100;0,98179;
040104;1200;1,43721;
040104;1300;1,69812;
040104;1400;1,73956;
040104;1500;1,59135;
040104;1600;2,82147;
040104;1700;2,76234;
040104;1800;2,0741;
040104;1900;1,58991;
040104;2000;0,987881;
040104;2100;0,611668;
040104;2200;0,623711;
040104;2300;0,858643;
040105;0000;0,669438;
040105;0100;0,405151;
040105;0200;0,448206;
040105;0300;0,504369;
040105;0400;0,211941;
040105;0500;0,468993;
040105;0600;0,18496;
040105;0700;0,168247;
040105;0800;0,820747;
040105;0900;1,10575;
040105;1000;1,24733;
040105;1100;1,85762;
040105;1200;1,84876;
040105;1300;1,53098;
040105;1400;1,69842;
040105;1500;1,71408;
040105;1600;2,02877;
040105;1700;2,02008;
040105;1800;1,84049;
040105;1900;1,6365;
040105;2000;1,50919;
040105;2100;0,667783;
040105;2200;0,824366;
040105;2300;0,740071;
040106;0000;0,662082;
040106;0100;0,893784;
040106;0200;0,453555;
040106;0300;0,799686;
040106;0400;1,07652;
040106;0500;0,690022;
040106;0600;0,579947;
040106;0700;0,272163;
040106;0800;1,12143;
040106;0900;1,08101;
040106;1000;1,13984;
040106;1100;1,27884;
040106;1200;1,3496;
040106;1300;1,41426;
040106;1400;1,43184;
040106;1500;2,42982;
040106;1600;2,28679;
040106;1700;2,04449;
040106;1800;2,18481;
040106;1900;1,35618;
040106;2000;0,890958;
040106;2100;0,980472;
040106;2200;0,666409;
040106;2300;0,65587;
040107;0000;0,562504;
040107;0100;0,114564;
040107;0200;0,389639;
040107;0300;0,315823;
040107;0400;0,250886;
040107;0500;0,410139;
040107;0600;0,572778;
040107;0700;0,351283;
040107;0800;0,673318;
040107;0900;0,590086;
040107;1000;1,27439;
040107;1100;1,5455;
040107;1200;1,72388;
040107;1300;1,70491;
040107;1400;1,54043;
040107;1500;1,72117;
040107;1600;1,80194;
040107;1700;1,61308;
040107;1800;1,45281;
040107;1900;1,05508;
040107;2000;0,816482;
040107;2100;0,671216;
040107;2200;0,481392;
040107;2300;0,828241;
040108;0000;0,762073;
040108;0100;0,174848;
040108;0200;0,483569;
040108;0300;0,550192;
040108;0400;0,463968;
040108;0500;0,513903;
040108;0600;0,15639;
040108;0700;0,185179;
040108;0800;0,0835319;
040108;0900;1,19814;
040108;1000;1,56305;
040108;1100;1,86151;
040108;1200;1,79379;
040108;1300;1,82519;
040108;1400;1,97202;
040108;1500;1,84056;
040108;1600;1,53339;
040108;1700;1,8674;
040108;1800;0,97296;
040108;1900;0,888883;
040108;2000;0,737178;
040108;2100;0,728512;
040108;2200;0,55127;
040108;2300;0,499145;
040109;0000;0,932632;
040109;0100;0,336924;
040109;0200;0,533937;
040109;0300;0,63079;
040109;0400;0,775681;
040109;0500;0,214035;
040109;0600;0,571712;
040109;0700;0,53266;
040109;0800;0,971512;
040109;0900;0,948833;
040109;1000;1,11137;
040109;1100;1,13785;
040109;1200;1,51151;
040109;1300;1,53768;
040109;1400;1,65103;
040109;1500;1,60156;
040109;1600;1,74958;
040109;1700;1,63021;
040109;1800;2,05104;
040109;1900;1,79286;
040109;2000;1,26317;
040109;2100;0,621181;
040109;2200;0,876516;
040109;2300;0,779408;
040110;0000;0,697098;
040110;0100;0,851353;
040110;0200;0,505443;
040110;0300;0,570781;
040110;0400;0,309038;
040110;0500;0,261553;
040110;0600;0,409167;
040110;0700;0,274158;
040110;0800;1,23696;
040110;0900;0,865234;
040110;1000;1,2975;
040110;1100;1,22696;
040110;1200;1,30287;
040110;1300;1,26163;
040110;1400;1,53526;
040110;1500;1,67039;
040110;1600;1,80909;
040110;1700;1,68894;
040110;1800;1,34666;
040110;1900;0,805276;
040110;2000;0,964149;
040110;2100;1,33207;
040110;2200;0,996677;
040110;2300;0,717701;
040111;0000;0,725096;
040111;0100;0,578753;
040111;0200;0,637023;
040111;0300;0,901258;
040111;0400;0,631137;
040111;0500;0,634234;
040111;0600;0,710399;
040111;0700;0,484349;
040111;0800;0,961164;
040111;0900;0,615248;
040111;1000;1,14477;
040111;1100;1,31206;
040111;1200;1,4777;
040111;1300;1,49724;
040111;1400;1,54233;
040111;1500;1,58921;
040111;1600;2,24147;
040111;1700;2,51414;
040111;1800;2,04342;
040111;1900;1,08015;
040111;2000;0,885303;
040111;2100;0,81959;
040111;2200;0,670766;
040111;2300;0,399292;
040112;0000;0,37208;
040112;0100;0,580503;
040112;0200;0,77191;
040112;0300;0,441099;
040112;0400;0,338797;
040112;0500;0,60586;
040112;0600;0,413927;
040112;0700;0,253955;
040112;0800;0,630831;
040112;0900;1,15277;
040112;1000;1,19367;
040112;1100;1,25881;
040112;1200;1,31187;
040112;1300;1,79596;
040112;1400;1,81432;
040112;1500;1,45468;
040112;1600;1,55194;
040112;1700;1,3429;
040112;1800;1,30612;
040112;1900;0,998032;
040112;2000;0,63518;
040112;2100;0,387528;
040112;2200;0,991359;
040112;2300;0,582331;
040113;0000;0,564065;
040113;0100;0,456688;
040113;0200;0,347984;
040113;0300;0,0982523;
040113;0400;0,34049;
040113;0500;0,34019;
040113;0600;0,628201;
040113;0700;0,308465;
040113;0800;0,437439;
040113;0900;0,960876;
040113;1000;1,46501;
040113;1100;0,902116;
040113;1200;1,49131;
040113;1300;1,56332;
040113;1400;2,01324;
040113;1500;2,00479;
040113;1600;1,70693;
040113;1700;2,08489;
040113;1800;1,1873;
040113;1900;1,13988;
040113;2000;0,556623;
040113;2100;0,629337;
040113;2200;0,530324;
040113;2300;0,572165;
040114;0000;0,372206;
040114;0100;0,489054;
040114;0200;0,435642;
040114;0300;0,540021;
040114;0400;0,285553;
