FECHA (YYMMDD);HORA (HHMM);;
031230;0500;14,7917;
031230;0600;15,7583;
031230;0700;18,4166;
031230;0800;21,375;
031230;0900;23,9583;
031230;1000;25,7416;
031230;1100;27,8833;
031230;1200;29,1583;
031230;1300;29,9083;
031230;1400;30,4417;
031230;1500;30,4;
031230;1600;29,425;
031230;1700;28,15;
031230;1800;26,6666;
031230;1900;24,2583;
031230;2000;22,1667;
031230;2100;21,0416;
031230;2200;20,3;
031230;2300;19,6083;
031231;0000;18,4417;
031231;0100;17,8916;
031231;0200;17,1;
031231;0300;16,5333;
031231;0400;15,9833;
031231;0500;15,5583;
031231;0600;16,525;
031231;0700;21,0416;
031231;0800;22,3167;
031231;0900;24,3833;
031231;1000;26,5667;
031231;1100;27,825;
031231;1200;28,5083;
031231;1300;28,875;
031231;1400;29,2666;
031231;1500;29,3666;
031231;1600;28,5916;
031231;1700;28,1917;
031231;1800;26,6583;
031231;1900;24,6083;
031231;2000;22,35;
031231;2100;20,9666;
031231;2200;20,325;
031231;2300;19,55;
040101;0000;18,9;
040101;0100;18,45;
040101;0200;17,7833;
040101;0300;17,1416;
040101;0400;16,4167;
040101;0500;16,0916;
040101;0600;16,9;
040101;0700;20,5417;
040101;0800;22,3333;
040101;0900;24,3333;
040101;1000;26,3583;
040101;1100;28,5667;
040101;1200;29,5166;
040101;1300;30,025;
040101;1400;30,5;
040101;1500;30,9666;
040101;1600;30,625;
040101;1700;29,2833;
040101;1800;27,675;
040101;1900;25,175;
040101;2000;22,925;
040101;2100;22,0083;
040101;2200;20,975;
040101;2300;20,075;
040102;0000;19,275;
040102;0100;18,6083;
040102;0200;17,9833;
040102;0300;17,3833;
040102;0400;17;
040102;0500;16,5333;
040102;0600;17,6666;
040102;0700;21,25;
040102;0800;23,425;
040102;0900;25,4583;
040102;1000;27,4083;
040102;1100;29,4916;
040102;1200;30,6333;
040102;1300;31,9;
040102;1400;32,3583;
040102;1500;32,4083;
040102;1600;32,1166;
040102;1700;30,5333;
040102;1800;28,8083;
040102;1900;26,5833;
040102;2000;23,8333;
040102;2100;22,1833;
040102;2200;21,2416;
040102;2300;20,5083;
040103;0000;19,4916;
040103;0100;18,7416;
040103;0200;17,975;
040103;0300;17,4833;
040103;0400;16,8083;
040103;0500;16,35;
040103;0600;17,1666;
040103;0700;20,8833;
040103;0800;23,3583;
040103;0900;25,6583;
040103;1000;27,8583;
040103;1100;29,8916;
040103;1200;30,525;
040103;1300;31,3083;
040103;1400;32,1;
040103;1500;32;
040103;1600;31,0166;
040103;1700;29,6083;
040103;1800;28,0166;
040103;1900;25,5166;
040103;2000;22,95;
