FECHA (YYMMDD);HORA (HHMM);;
040105;0800;49,6666;
040105;0900;42,3333;
040105;1000;37,75;
040105;1100;33,8333;
040105;1200;29,75;
040105;1300;28,4167;
040105;1400;28,0833;
040105;1500;27,1667;
040105;1600;27,9167;
040105;1700;27,8333;
040105;1800;26,8333;
040105;1900;28,75;
040105;2000;30,4167;
040105;2100;34;
040105;2200;38,0833;
040105;2300;42,6666;
040106;0000;46,5833;
040106;0100;49,75;
040106;0200;52,25;
040106;0300;58,0833;
040106;0400;60,6666;
040106;0500;61,0833;
040106;0600;58,5833;
040106;0700;42,8333;
040106;0800;37,3333;
040106;0900;34,0833;
040106;1000;29;
040106;1100;28,4167;
040106;1200;28,3333;
040106;1300;26,25;
040106;1400;25,8333;
040106;1500;27;
040106;1600;26,3333;
040106;1700;27,8333;
040106;1800;33;
040106;1900;37,5833;
040106;2000;43,9166;
040106;2100;49,6666;
040106;2200;53,8333;
040106;2300;56,25;
040107;0000;59,75;
040107;0100;63,4166;
040107;0200;66,4164;
040107;0300;69,4164;
040107;0400;71,8333;
040107;0500;72,4164;
040107;0600;68,3333;
040107;0700;54,8333;
040107;0800;48,5833;
040107;0900;42,3333;
040107;1000;38,4166;
040107;1100;38,8333;
040107;1200;37,8333;
040107;1300;36,3333;
040107;1400;35,0833;
040107;1500;36,3333;
040107;1600;38,1666;
040107;1700;39,8333;
040107;1800;40,75;
040107;1900;45,3333;
040107;2000;52,3333;
040107;2100;56,9166;
040107;2200;59,5833;
040107;2300;63,1666;
040108;0000;65,9164;
040108;0100;68,25;
040108;0200;71;
040108;0300;71,75;
040108;0400;75;
040108;0500;76,5;
040108;0600;73,1664;
040108;0700;61,3333;
040108;0800;54,25;
040108;0900;50,1666;
040108;1000;46,1666;
040108;1100;43;
040108;1200;42,1666;
040108;1300;38,9166;
040108;1400;39,3333;
040108;1500;39,0833;
040108;1600;39,75;
040108;1700;41,5;
040108;1800;44,1666;
040108;1900;49;
040108;2000;53;
040108;2100;53,0833;
040108;2200;55,5;
040108;2300;59,8333;
040109;0000;57,8333;
040109;0100;62,0833;
040109;0200;66,8333;
040109;0300;66,1664;
040109;0400;68,3333;
040109;0500;73,25;
040109;0600;69,75;
040109;0700;57,75;
040109;0800;52,25;
040109;0900;47,6666;
040109;1000;43,4166;
040109;1100;39,6666;
040109;1200;39,5833;
040109;1300;35,8333;
040109;1400;34;
040109;1500;31,5833;
040109;1600;31,5833;
040109;1700;33,5;
040109;1800;34,25;
040109;1900;34,8333;
040109;2000;37,3333;
040109;2100;40,1666;
040109;2200;42,8333;
040109;2300;47,5833;
040110;0000;51,0833;
040110;0100;53,6666;
040110;0200;58,0833;
040110;0300;62,8333;
040110;0400;64,1664;
040110;0500;66,1664;
040110;0600;65,8333;
040110;0700;51,8333;
040110;0800;45;
040110;0900;39,25;
040110;1000;35,1666;
040110;1100;33;
040110;1200;30,25;
040110;1300;27;
040110;1400;23,3333;
040110;1500;23,5;
040110;1600;23,3333;
040110;1700;23,4167;
040110;1800;24,6667;
040110;1900;27;
040110;2000;29,5;
040110;2100;30,0833;
040110;2200;33,5833;
040110;2300;39,25;
040111;0000;42,0833;
040111;0100;48,3333;
040111;0200;53,25;
040111;0300;55,6666;
040111;0400;56,4166;
040111;0500;59;
040111;0600;55,25;
040111;0700;39,5833;
040111;0800;34,5;
040111;0900;27,4167;
040111;1000;24,6667;
040111;1100;23,75;
040111;1200;22;
040111;1300;20,8333;
040111;1400;20,3333;
040111;1500;19,0833;
040111;1600;23;
040111;1700;25,25;
040111;1800;25,4167;
040111;1900;27,9167;
040111;2000;31,0833;
040111;2100;34,5;
040111;2200;35,75;
040111;2300;37,6666;
040112;0000;40,3333;
040112;0100;46,9166;
040112;0200;47;
040112;0300;51,6666;
040112;0400;54,5;
040112;0500;55,5;
040112;0600;55,75;
040112;0700;41,9166;
040112;0800;36,5833;
040112;0900;33,5833;
040112;1000;32,5833;
040112;1100;27,25;
040112;1200;25,4167;
040112;1300;28,75;
040112;1400;30,0833;
040112;1500;30,3333;
040112;1600;32,5833;
040112;1700;34,75;
040112;1800;37,6666;
040112;1900;43,75;
040112;2000;49,1666;
040112;2100;51,1666;
040112;2200;53,75;
040112;2300;56,5;
040113;0000;59,8333;
040113;0100;62,4166;
040113;0200;65,5;
040113;0300;67,6664;
040113;0400;70,5;
040113;0500;72,3333;
040113;0600;70,5;
040113;0700;54;
040113;0800;49,1666;
040113;0900;43,6666;
040113;1000;39,5;
040113;1100;36;
040113;1200;35,4166;
040113;1300;35,25;
040113;1400;34,0833;
040113;1500;32,5;
040113;1600;32,5833;
040113;1700;38,6666;
040113;1800;43,6666;
040113;1900;50,8333;
040113;2000;56,3333;
040113;2100;59,4166;
040113;2200;62,0833;
040113;2300;65,0833;
040114;0000;66,5833;
040114;0100;69,0833;
040114;0200;70,6664;
040114;0300;73,0833;
040114;0400;74,75;
040114;0500;75;
040114;0600;73,75;
040114;0700;61;
040114;0800;58,0833;
040114;0900;52,25;
040114;1000;46,8333;
040114;1100;45,0833;
040114;1200;43,25;
040114;1300;44,8333;
040114;1400;44,75;
040114;1500;45;
040114;1600;44,5;
040114;1700;44,0833;
040114;1800;46,25;
040114;1900;48,9166;
040114;2000;53,6666;
040114;2100;57,8333;
040114;2200;58,75;
040114;2300;60,6666;
040115;0000;65,25;
040115;0100;68,1664;
040115;0200;69,8333;
040115;0300;74,3333;
040115;0400;78;
040115;0500;80,0833;
040115;0600;82,25;
